title,link,author,journal,website,abstract,referenced
Temperature-insensitive piezoelectric properties of lead-free BiFeO3–BaTiO3 ceramics with high Curie temperature,https://www.sciencedirect.com/science/article/pii/S0925838820331522,"M Habib, MH Lee, F Akram, MH Kim, WJ Kim…","Journal of Alloys and …, 2021",Elsevier,"… Temperature-insensitive high piezoelectric strain and low strain hysteresis (H s ) with high
Curie temperature (… pm/V) simultaneously in a single composition with Curie temperature, T C …",28
Surface tension and Curie temperature in ferroelectric nanowires and nanodots,https://link.springer.com/article/10.1007/s00339-009-5246-7,W Ma,"Applied Physics A, 2009",Springer,"… the cubic–tetragonal transition temperature compared to the unstressed … Curie transition
temperature in the ferroelectric nanocrystals Tc(R) with respect to the bulk transition temperature …",44
Tuning of the exchange interaction and the Curie temperature by mixed crystal formation of the bridging anionic ligands,https://pubs.rsc.org/en/content/articlehtml/2019/cc/c8cc09392j,"T Neumann, M Rams, Z Tomkowicz, I Jess…","Chemical …, 2019",pubs.rsc.org,"… With increasing selenocyanate content, an increase of the magnetic exchange constant
and of the critical temperature (Curie temperature) is observed, which offers a rational route to …",24
"Strain-controllable high curie temperature, large valley polarization, and magnetic crystal anisotropy in a 2D ferromagnetic Janus VSeTe monolayer",https://pubs.acs.org/doi/abs/10.1021/acsami.0c13988,"Z Guan, S Ni","ACS Applied Materials & Interfaces, 2020",ACS Publications,"… Our work shows that ferromagnetic and valley-polarized Janus VSeTe with a high Curie
temperature could be manipulated by biaxial strains, implying wide potential application in spin-…",35
Enhanced refrigerant capacity and Curie temperature of amorphous Gd60Fe20Al20 microwires,https://www.sciencedirect.com/science/article/pii/S0925838819329275,"NTM Duc, HX Shen, EM Clements, O Thiabgoh…","Journal of Alloys and …, 2019",Elsevier,"… that the Curie temperature obtained via critical exponents analysis defines the onset of the
broad phase transition at T C = 202 K that, as seen in the surface plot of the temperature and …",27
Transport spin polarization of high Curie temperature MnBi films,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.83.024415,"P Kharel, P Thapa, P Lukashev, RF Sabirianov…","Physical Review B, 2011",APS,"… low Curie temperatures make … Curie temperature, which is well above room
temperature,6 high coercivity with a rectangular hysteresis loop,7 large perpendicular room-temperature …",51
Synthesis and magnetic properties of Gd doped EuS nanocrystals with enhanced Curie temperatures,https://pubs.acs.org/doi/abs/10.1021/ja104314c,"RS Selinsky, JH Han, EA Morales Pérez…","Journal of the …, 2010",ACS Publications,"… In conclusion, enhancement of the Curie temperatures and other modifications of magnetic
properties of EuS NCs have been shown through doping with Gd. New EuS and GdS single …",78
High Curie Temperature Bi1.85Mn0.15Te3 Nanoplates,https://pubs.acs.org/doi/abs/10.1021/ja308933k,"L Cheng, ZG Chen, S Ma, Z Zhang…","Journal of the …, 2012",ACS Publications,"… A high ferromagnetic state with a Curie temperature of ∼45 K is observed in these
nanoplates due to Mn 2+ and Mn 3+ ion doping, which is a significant progress in the field of …",54
UI3: A high Curie temperature f-electron two-dimensional magnet,https://iopscience.iop.org/article/10.1088/1361-6463/ab740c/meta,"S Li, Z Wang, M Zhou, F Zheng, X Shao…","Journal of Physics D …, 2020",iopscience.iop.org,"… Considering that the Curie temperature of CrI 3 monolayer is as large as 45 K, we infer that
the hexagonal UI 3 monolayer should have much higher Curie temperature. For rectangular …",9
The reduced Curie temperature and magnetic entropy changes in Gd1− xInx alloys,https://www.sciencedirect.com/science/article/pii/S092583880401549X,"W Dunhui, H Zhida, C Qingqi, H Songling…","Journal of alloys and …, 2005",Elsevier,"… working substance in room temperature magnetic refrigeration. It is well known that the MCE
peaks at the Curie temperature (T C ). So the most efficient working temperature region of a …",39
Polarisation tuneable piezo-catalytic activity of Nb-doped PZT with low Curie temperature for efficient CO 2 reduction and H 2 generation,https://pubs.rsc.org/en/content/articlehtml/2021/na/d1na00013f,"Y Zhang, PTT Phuong, NPH Duy, E Roake…","Nanoscale …, 2021",pubs.rsc.org,"… of the PZT system and reduce the Curie temperature (T c ) or … PZT as a low Curie temperature
ferroelectric material for piezo… Nb-doping to reduce the Curie temperature (T c ) below 100 …",19
Dependence of Curie temperature on the thickness of an ultrathin ferroelectric film,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.81.064105,"E Almahmoud, I Kornev, L Bellaiche","Physical review B, 2010",APS,"… of their Curie temperature that is, the highest temperature at which a spon… Curie temperature.
Finite-size scaling theory predicts that this critical temperature shifts to lower temperatures …",35
Stacking‐Fault Model for Stoichiometry Deviations in LiNbO3 and LiTaO3 and the Effect on the Curie Temperature,https://aip.scitation.org/doi/abs/10.1063/1.1658708,"K Nassau, ME Lines","Journal of Applied Physics, 1970",aip.scitation.org,"… can predict the variation of t~e Curie tempera~ure ~th chan~es … observed variation of Curie
temperature with composition. … niobium even above the Curie temperature as in Fig. 2(c). It is …",130
Novel high Curie temperature Ba2ZnSi2O7 ferroelectrics with low-permittivity microwave dielectric properties,https://www.sciencedirect.com/science/article/pii/S0272884216311051,"ZY Zou, XK Lan, WZ Lu, GF Fan, XH Wang…","Ceramics …, 2016",Elsevier,"… Although an ε r anomaly appears at approximately 510 C, the Curie temperature (T c ) of
the Ba 2 ZnSi 2 O 7 ceramics is 750 C or higher. The ceramics also display low-permittivity …",42
Thickness-and orientation-dependences of Curie temperature in ferroelectric epitaxial Y doped HfO2 films,https://iopscience.iop.org/article/10.35848/1347-4065/ab6d84/meta,"T Mimura, T Shimizu, Y Katsuya, O Sakata…","Japanese Journal of …, 2020",iopscience.iop.org,"… of Curie temperature of 550 C in 15–86 nm thickness range. Moreover, the Curie temperature
… These results revealed that the Curie temperature was above 350 C, which is significantly …",22
"Curie temperature reduction in
-coated ultrafine
nanoparticles: Quantitative agreement with a finite-size scaling law",https://aip.scitation.org/doi/abs/10.1063/1.3558918,"J Wang, W Wu, F Zhao, G Zhao","Applied physics letters, 2011",aip.scitation.org,"… –Weiss fit is 858 K, only 5 K higher than the temperature of the inflection point of χ … Curie–Weiss
fits are very close to the true Curie temperatures. It is apparent that the Curie temperature …",62
An accelerating approach of designing ferromagnetic materials via machine learning modeling of magnetic ground state and Curie temperature,https://www.tandfonline.com/doi/abs/10.1080/21663831.2020.1863876,"T Long, NM Fortunato, Y Zhang…","Materials Research …, 2021",Taylor & Francis,"… However, their functionalities are often limited by the magnetic ordering temperature. In this
work, we performed random forest on the magnetic ground state and the Curie temperature (…",17
"Role of Antisite Disorder, Rare-Earth Size, and Superexchange Angle on Band Gap, Curie Temperature, and Magnetization of R2NiMnO6 Double Perovskites",https://pubs.acs.org/doi/abs/10.1021/acsaelm.8b00062,"M Nasir, S Kumar, N Patra…","ACS Applied …, 2019",ACS Publications,"… and Curie temperature mostly by changing the tilting angles. Thus, r R 3+ and thereby
superexchange angle is possibly responsible for the variation in band gap and Curie temperature. …",58
Thermofluid analysis in magnetic hyperthermia using low curie temperature particles,https://ieeexplore.ieee.org/abstract/document/7372440/,"I Astefanoaei, I Dumitru, H Chiriac…","IEEE Transactions on …, 2016",ieeexplore.ieee.org,"… small permeability and high Curie temperature. The particles with … Curie temperature are
strong candidates to be used in the magnetic hyperthermia [5], [6]. Their low Curie temperature …",24
Chiral fluctuations in MnSi above the Curie temperature,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.88.237204,"B Roessli, P Böni, WE Fischer, Y Endoh","Physical review letters, 2002",APS,"Polarized neutrons are used to determine the antisymmetric part of the magnetic
susceptibility in noncentrosymmetric MnSi. The paramagnetic fluctuations are found to be …",76
La-doped EuO: A rare earth ferromagnetic semiconductor with the highest Curie temperature,https://aip.scitation.org/doi/abs/10.1063/1.3416911,"H Miyazaki, HJ Im, K Terashima, S Yagi…","Applied Physics …, 2010",aip.scitation.org,"… -crystalline La-doped EuO thin films with a Curie temperature ( T C ) of about 200 K, the …
a Curie temperature ( T C ) of about 70 K and a band gap of 1.12 eV at room temperature. 1. …",71
High Curie-temperature intrinsic ferromagnetism and hole doping-induced half-metallicity in two-dimensional scandium chlorine monolayers,https://pubs.rsc.org/en/content/articlehtml/2018/nh/c8nh00101d,"B Wang, Q Wu, Y Zhang, Y Guo, X Zhang, Q Zhou…","Nanoscale …, 2018",pubs.rsc.org,"… ground state with a Curie temperature of 17 K. Clearly, the Curie temperatures of these
intrinsic 2D magnetic orderings can only be maintained at rather low temperature, such as 30 K …",64
"Exchange energies, Curie temperatures and magnons in Heusler compounds",https://iopscience.iop.org/article/10.1088/0022-3727/42/8/084013/meta,"J Thoene, S Chadov, G Fecher, C Felser…","Journal of Physics D …, 2009",iopscience.iop.org,"… Curie temperatures for various Heusler compounds. Comparison of the calculated Curie
temperatures … that the calculated meanfield Curie temperatures give rather good estimates of …",56
Curie temperatures of annealed FePt nanoparticle systems,https://aip.scitation.org/doi/abs/10.1063/1.2709739,"CB Rong, Y Li, JP Liu","Journal of applied physics, 2007",aip.scitation.org,"… Figure 3 shows the dependence of Néel temperature T N or Curie temperature T C on
composition of the annealed nanoparticles. The magnetic phase transition temperatures were …",56
Boosting the Curie Temperature of Two-Dimensional Semiconducting CrI3 Monolayer through van der Waals Heterostructures,https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.9b04631,"S Chen, C Huang, H Sun, J Ding…","The Journal of Physical …, 2019",ACS Publications,"… of the heterostructures, we next estimate their Curie temperature. To extract the exchange …
on the 2D Ising model, we have calculated the Curie temperature of CrI 3 monolayer and CrI 3 /…",44
"Electric-field-induced modification of the magnon energy, exchange interaction, and Curie temperature of transition-metal thin films",https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.114.107202,"M Oba, K Nakamura, T Akiyama, T Ito, M Weinert…","Physical review …, 2015",APS,"… The electric-field-induced modification in the Curie temperature of prototypical transition-…
E-field-induced modification of the Curie temperature, which is demonstrated via Monte Carlo …",57
Itinerant-electron metamagnetism and strong pressure dependence of the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.65.024413,"H Yamada, K Fukamichi, T Goto","Physical Review B, 2001",APS,"… However, only the mean amplitude of spin fluctuations at the Curie temperature, not the Curie
temperature itself, was discussed in this paper. The mean amplitude of spin fluctuations ξ(T…",82
